id,url,platform,title,email,website,telegram,twitter,created_at
1,https://www.pinksale.finance/solana/launchpad/D9nugpadFonFUMZcbh5sDqPJpuSpLNzyZcaYcE5AhiN9,www.pinksale.finance,Moonky,,https://moonkyonsol.com/,https://t.me/+UGsa09awmsljOGIx,https://x.com/moonkyonsol,2024-07-13 23:19:36
2,https://www.pinksale.finance/solana/launchpad/BSkF4LeZNA2NyufZtbr8CtpA9y12Wf3kMQoDyo4hMQX1,www.pinksale.finance,TRUMPWIFWIG,core-js-bundle@3.2,https://www.trumpwifwig.lol/,https://t.me/TRUMPWIGLOL,https://x.com/TRUMPWIG_SOLANA,2024-07-13 23:19:36
3,https://www.pinksale.finance/launchpad/ethereum/0x8c6AE296a1802107ec785EC7E2c191A8f10Eb906,www.pinksale.finance,Snagglepuss Inu,,https://snagglepussinu.com,https://t.me/snagglepussinu,https://x.com/snagglepussinu,2024-07-13 23:19:36
4,https://www.pinksale.finance/solana/launchpad/49a7KkqjQzXHyahjVunGyrpHeXgNJNmvWCm6xbxzyMnN,www.pinksale.finance,TDM,contact@trainingdietmax.com,https://trainingdietmax.com/,https://t.me/tokentdm,https://trainingdietmax.com/,2024-07-13 23:19:36
5,https://www.pinksale.finance/launchpad/bsc/0x8cb027ABfC505B3167bfe44fB22C7B057e456840,www.pinksale.finance,Speedcoin,,https://getspeedcoin.com/,https://t.me/getspeedcoin,,2024-07-13 23:19:37
6,https://www.pinksale.finance/solana/launchpad/GmmrFzGghhirg3WqS6rBC8orRkrnHZ7w8kkAeTaCTxxF,www.pinksale.finance,Pepper X Coin,,https://pepperx.info/,https://t.me/PepperXcoinChannel,https://x.com/PepperXCoin,2024-07-13 23:19:39
7,https://www.pinksale.finance/launchpad/bsc/0x1DF26F6EFd32B664fDC7E50925cB5476b559686a,www.pinksale.finance,ZoneBillion,,https://zonebillion.top,https://t.me/ZoneBillionMemeCoin,,2024-07-13 23:19:39
8,https://www.pinksale.finance/solana/launchpad/3ZQsqU3aE5vm51veUpmD22x7hPqSkpiU26RNamQTWMDy,www.pinksale.finance,Omnom,,https://omnomdog.com/,https://t.me/omnomdog,https://x.com/omnomdog?s=21,2024-07-13 23:19:39
9,https://www.pinksale.finance/launchpad/bsc/0x0Afb3431293D8F526526E174631022d11a8F1a1E,www.pinksale.finance,Baby Peipei,babypeipei01@gmail.com,https://babypeipei.net/,https://t.me/babypepei001,https://x.com/Baby_Peipei,2024-07-13 23:19:39
10,https://www.pinksale.finance/solana/launchpad/Ea36ro7ez9CJyDPyRaDtKbUcKq1aYjBRzpcpN1WEnFPA,www.pinksale.finance,BUSAI,,https://busai.me/,https://t.me/BUSAI_community,,2024-07-13 23:19:39
11,https://www.pinksale.finance/launchpad/bsc/0x466d0767858B403Db7Bbb65B51Bec358C66a385E,www.pinksale.finance,VGG Coin,,https://www.vggcoin.com/,https://t.me/VGG_coin,https://x.com/VGGCoin,2024-07-13 23:19:48
12,https://www.pinksale.finance/launchpad/bsc/0x723b370af56e421D618637DDae2B7EEfF3f62B3f,www.pinksale.finance,Chef PEPE,,https://ucit.shop/,,https://x.com/chefpepe001,2024-07-13 23:19:48
13,https://www.pinksale.finance/solana/launchpad/4SEf85RSZFxZXebAcczHUPttNAZKH8EezbunfnmSMCDz,www.pinksale.finance,Game Of Trump,,http://www.gameoftrump.live,https://t.me/+glkWslLtJQxjMjdk,https://x.com/GameOfTrumpCoin,2024-07-13 23:19:56
14,https://www.pinksale.finance/launchpad/polygon/0xBceF22D5A90d32aF18210D51928a51F1D433fFe2,www.pinksale.finance,DARK,,https://darkswap.info/,https://t.me/dark1Swap,https://x.com/Dark__Swap?t=slhj07kNJdhevIXKxRH8CA&s=09,2024-07-13 23:19:56
15,https://www.pinksale.finance/launchpad/polygon/0x7b0e71C32d1e4b20436eb844C38484B9D2D3b017,www.pinksale.finance,HyDRAULIC,,https://hydrau.lc/,https://t.me/HyDRAULICGlobalCommunity,https://x.com/hydraulic_defi,2024-07-13 23:19:58
16,https://www.pinksale.finance/launchpad/bsc/0x7c1E77A1Fb2AbADF582C4852E8F4AAf7452fdc59,www.pinksale.finance,Nwocoin,nwocoinproject@gmail.com,http://nwocoin.org/,https://t.me/nwocoins,,2024-07-13 23:20:05
17,https://www.pinksale.finance/launchpad/base/0x95F2e04eD6351AeAB7225b6A7ccd3189Cf306d20,www.pinksale.finance,Alaaddin.ai,info@alaaddin.ai,https://alaaddin.ai/,https://t.me/AlaaddinAi,https://x.com/alaaddinai,2024-07-13 23:20:05
18,https://www.pinksale.finance/launchpad/bsc/0x66CBE6D07eC51514808b9436d2Be6a0f7a9742cD,www.pinksale.finance,PiAi,,https://upload.pinksale.finance/,,,2024-07-13 23:20:07
